2021-12-16 14:12:978 INFO  CarsBuyers :47 - Selecting Model : [[ChromeDriver: chrome on WINDOWS (c31f4a73dc4ca771fdbd71ca7c2f4c34)] -> xpath: //select[@id='models']]
2021-12-16 14:12:150 INFO  CarsBuyers :52 - Selecting location : [[ChromeDriver: chrome on WINDOWS (c31f4a73dc4ca771fdbd71ca7c2f4c34)] -> xpath: //select[@id='locations']]
2021-12-16 14:12:424 INFO  CarsBuyers :57 - Selecting Price : [[ChromeDriver: chrome on WINDOWS (c31f4a73dc4ca771fdbd71ca7c2f4c34)] -> xpath: //select[@id='priceTo']]
2021-12-16 14:12:327 INFO  CarsBuyers :62 - Selecting Nextcar : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-12-16 14:12:546 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 14:12:404 INFO  CarsBuyers :42 - Select Car from Dropdown list [[ChromeDriver: chrome on WINDOWS (3c30148fd8974bc233531aff7f8595a2)] -> xpath: //select[@id='makes']]
2021-12-16 14:12:653 INFO  CarsBuyers :47 - Selecting Model : [[ChromeDriver: chrome on WINDOWS (3c30148fd8974bc233531aff7f8595a2)] -> xpath: //select[@id='models']]
2021-12-16 14:12:911 INFO  CarsBuyers :52 - Selecting location : [[ChromeDriver: chrome on WINDOWS (3c30148fd8974bc233531aff7f8595a2)] -> xpath: //select[@id='locations']]
2021-12-16 14:12:76 INFO  CarsBuyers :57 - Selecting Price : [[ChromeDriver: chrome on WINDOWS (3c30148fd8974bc233531aff7f8595a2)] -> xpath: //select[@id='priceTo']]
2021-12-16 14:12:223 INFO  CarsBuyers :62 - Selecting Nextcar : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-12-16 14:12:261 INFO  CarsBuyers :66 - Getting Text from : 112 Mazda BT-50s for Sale under $80,000 in Country East, WA
2021-12-16 15:12:205 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 15:12:583 INFO  CarsBuyers :42 - Select Car from Dropdown list [[ChromeDriver: chrome on WINDOWS (a3236ae9a21f20c61fe2ccac6333b1cc)] -> xpath: //select[@id='makes']]
2021-12-16 15:12:947 INFO  CarsBuyers :47 - Selecting Model : [[ChromeDriver: chrome on WINDOWS (a3236ae9a21f20c61fe2ccac6333b1cc)] -> xpath: //select[@id='models']]
2021-12-16 15:12:195 INFO  CarsBuyers :52 - Selecting location : [[ChromeDriver: chrome on WINDOWS (a3236ae9a21f20c61fe2ccac6333b1cc)] -> xpath: //select[@id='locations']]
2021-12-16 15:12:361 INFO  CarsBuyers :57 - Selecting Price : [[ChromeDriver: chrome on WINDOWS (a3236ae9a21f20c61fe2ccac6333b1cc)] -> xpath: //select[@id='priceTo']]
2021-12-16 15:12:916 INFO  CarsBuyers :62 - Selecting Nextcar : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-12-16 15:12:929 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 15:12:566 INFO  CarsBuyers :42 - Select Car from Dropdown list [[ChromeDriver: chrome on WINDOWS (2e78f637e18d08e8e5883464f55d909b)] -> xpath: //select[@id='makes']]
2021-12-16 15:12:856 INFO  CarsBuyers :47 - Selecting Model : [[ChromeDriver: chrome on WINDOWS (2e78f637e18d08e8e5883464f55d909b)] -> xpath: //select[@id='models']]
2021-12-16 15:12:74 INFO  CarsBuyers :52 - Selecting location : [[ChromeDriver: chrome on WINDOWS (2e78f637e18d08e8e5883464f55d909b)] -> xpath: //select[@id='locations']]
2021-12-16 15:12:259 INFO  CarsBuyers :57 - Selecting Price : [[ChromeDriver: chrome on WINDOWS (2e78f637e18d08e8e5883464f55d909b)] -> xpath: //select[@id='priceTo']]
2021-12-16 15:12:376 INFO  CarsBuyers :62 - Selecting Nextcar : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-12-16 15:12:420 INFO  CarsBuyers :67 - Getting Text from : [[ChromeDriver: chrome on WINDOWS (2e78f637e18d08e8e5883464f55d909b)] -> xpath: //h1[@class='listing-search-title']]
2021-12-16 15:12:942 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 15:12:507 INFO  CarsBuyers :42 - Select Car from Dropdown list [[ChromeDriver: chrome on WINDOWS (3e8ef07a5c3423a59fe1accf01ad4c9e)] -> xpath: //select[@id='makes']]
2021-12-16 15:12:978 INFO  CarsBuyers :47 - Selecting Model : [[ChromeDriver: chrome on WINDOWS (3e8ef07a5c3423a59fe1accf01ad4c9e)] -> xpath: //select[@id='models']]
2021-12-16 15:12:176 INFO  CarsBuyers :52 - Selecting location : [[ChromeDriver: chrome on WINDOWS (3e8ef07a5c3423a59fe1accf01ad4c9e)] -> xpath: //select[@id='locations']]
2021-12-16 15:12:358 INFO  CarsBuyers :57 - Selecting Price : [[ChromeDriver: chrome on WINDOWS (3e8ef07a5c3423a59fe1accf01ad4c9e)] -> xpath: //select[@id='priceTo']]
2021-12-16 15:12:998 INFO  CarsBuyers :62 - Selecting Nextcar : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-12-16 15:12:39 INFO  CarsBuyers :67 - Getting Text from : [[ChromeDriver: chrome on WINDOWS (3e8ef07a5c3423a59fe1accf01ad4c9e)] -> xpath: //h1[@class='listing-search-title']]
2021-12-16 15:12:321 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 15:12:649 INFO  CarsBuyers :42 - Select Car from Dropdown list [[ChromeDriver: chrome on WINDOWS (eda04f025f7e3eeec957d74fe9b3ba6c)] -> xpath: //select[@id='makes']]
2021-12-16 15:12:940 INFO  CarsBuyers :47 - Selecting Model : [[ChromeDriver: chrome on WINDOWS (eda04f025f7e3eeec957d74fe9b3ba6c)] -> xpath: //select[@id='models']]
2021-12-16 15:12:154 INFO  CarsBuyers :52 - Selecting location : [[ChromeDriver: chrome on WINDOWS (eda04f025f7e3eeec957d74fe9b3ba6c)] -> xpath: //select[@id='locations']]
2021-12-16 15:12:437 INFO  CarsBuyers :57 - Selecting Price : [[ChromeDriver: chrome on WINDOWS (eda04f025f7e3eeec957d74fe9b3ba6c)] -> xpath: //select[@id='priceTo']]
2021-12-16 15:12:434 INFO  CarsBuyers :62 - Selecting Nextcar : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-12-16 15:12:491 INFO  CarsBuyers :67 - Getting Text from : [[ChromeDriver: chrome on WINDOWS (eda04f025f7e3eeec957d74fe9b3ba6c)] -> xpath: //h1[@class='listing-search-title']]
2021-12-16 15:12:34 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 15:12:717 INFO  CarsBuyers :42 - Select Car from Dropdown list [[ChromeDriver: chrome on WINDOWS (0c7474fd6dd8ffd25c9bb98f43b23ea1)] -> xpath: //select[@id='makes']]
2021-12-16 15:12:231 INFO  CarsBuyers :47 - Selecting Model : [[ChromeDriver: chrome on WINDOWS (0c7474fd6dd8ffd25c9bb98f43b23ea1)] -> xpath: //select[@id='models']]
2021-12-16 15:12:421 INFO  CarsBuyers :52 - Selecting location : [[ChromeDriver: chrome on WINDOWS (0c7474fd6dd8ffd25c9bb98f43b23ea1)] -> xpath: //select[@id='locations']]
2021-12-16 15:12:590 INFO  CarsBuyers :57 - Selecting Price : [[ChromeDriver: chrome on WINDOWS (0c7474fd6dd8ffd25c9bb98f43b23ea1)] -> xpath: //select[@id='priceTo']]
2021-12-16 15:12:208 INFO  CarsBuyers :62 - Selecting Nextcar : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-12-16 15:12:925 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 15:12:293 INFO  CarsBuyers :42 - Select Car from Dropdown list [[ChromeDriver: chrome on WINDOWS (0c0cbaa34c2d704022b89060f6508ae5)] -> xpath: //select[@id='makes']]
2021-12-16 15:12:513 INFO  CarsBuyers :47 - Selecting Model : [[ChromeDriver: chrome on WINDOWS (0c0cbaa34c2d704022b89060f6508ae5)] -> xpath: //select[@id='models']]
2021-12-16 15:12:796 INFO  CarsBuyers :52 - Selecting location : [[ChromeDriver: chrome on WINDOWS (0c0cbaa34c2d704022b89060f6508ae5)] -> xpath: //select[@id='locations']]
2021-12-16 15:12:188 INFO  CarsBuyers :57 - Selecting Price : [[ChromeDriver: chrome on WINDOWS (0c0cbaa34c2d704022b89060f6508ae5)] -> xpath: //select[@id='priceTo']]
2021-12-16 15:12:39 INFO  CarsBuyers :62 - Selecting Nextcar : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-12-16 15:12:86 INFO  CarsBuyers :67 - Getting Text from : [[ChromeDriver: chrome on WINDOWS (0c0cbaa34c2d704022b89060f6508ae5)] -> xpath: //h1[@class='listing-search-title']]
2021-12-16 15:12:822 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 15:12:387 INFO  CarsBuyers :42 - Select Car from Dropdown list [[ChromeDriver: chrome on WINDOWS (00c4fa96f286a6c726b71ef9ac16edb4)] -> xpath: //select[@id='makes']]
2021-12-16 15:12:641 INFO  CarsBuyers :47 - Selecting Model : [[ChromeDriver: chrome on WINDOWS (00c4fa96f286a6c726b71ef9ac16edb4)] -> xpath: //select[@id='models']]
2021-12-16 15:12:970 INFO  CarsBuyers :52 - Selecting location : [[ChromeDriver: chrome on WINDOWS (00c4fa96f286a6c726b71ef9ac16edb4)] -> xpath: //select[@id='locations']]
2021-12-16 15:12:210 INFO  CarsBuyers :57 - Selecting Price : [[ChromeDriver: chrome on WINDOWS (00c4fa96f286a6c726b71ef9ac16edb4)] -> xpath: //select[@id='priceTo']]
2021-12-16 15:12:280 INFO  CarsBuyers :62 - Selecting Nextcar : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-12-16 15:12:434 INFO  CarsBuyers :67 - Getting Text from : [[ChromeDriver: chrome on WINDOWS (00c4fa96f286a6c726b71ef9ac16edb4)] -> css selector: .listing-search-title]
2021-12-16 15:12:143 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 15:12:291 INFO  CarsBuyers :42 - Select Car from Dropdown list [[ChromeDriver: chrome on WINDOWS (1066c7c527c3d5b39b304de673a88741)] -> xpath: //select[@id='makes']]
2021-12-16 15:12:673 INFO  CarsBuyers :47 - Selecting Model : [[ChromeDriver: chrome on WINDOWS (1066c7c527c3d5b39b304de673a88741)] -> xpath: //select[@id='models']]
2021-12-16 15:12:907 INFO  CarsBuyers :52 - Selecting location : [[ChromeDriver: chrome on WINDOWS (1066c7c527c3d5b39b304de673a88741)] -> xpath: //select[@id='locations']]
2021-12-16 15:12:88 INFO  CarsBuyers :57 - Selecting Price : [[ChromeDriver: chrome on WINDOWS (1066c7c527c3d5b39b304de673a88741)] -> xpath: //select[@id='priceTo']]
2021-12-16 15:12:611 INFO  CarsBuyers :62 - Selecting Nextcar : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-12-16 15:12:645 INFO  CarsBuyers :67 - Getting Text from : [[ChromeDriver: chrome on WINDOWS (1066c7c527c3d5b39b304de673a88741)] -> css selector: .listing-search-title]
2021-12-16 15:12:639 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 15:12:626 INFO  CarsBuyers :42 - Select Car from Dropdown list [[ChromeDriver: chrome on WINDOWS (5ea1ec69c432b2ee696db84718a6dad8)] -> xpath: //select[@id='makes']]
2021-12-16 15:12:866 INFO  CarsBuyers :47 - Selecting Model : [[ChromeDriver: chrome on WINDOWS (5ea1ec69c432b2ee696db84718a6dad8)] -> xpath: //select[@id='models']]
2021-12-16 15:12:122 INFO  CarsBuyers :52 - Selecting location : [[ChromeDriver: chrome on WINDOWS (5ea1ec69c432b2ee696db84718a6dad8)] -> xpath: //select[@id='locations']]
2021-12-16 15:12:412 INFO  CarsBuyers :57 - Selecting Price : [[ChromeDriver: chrome on WINDOWS (5ea1ec69c432b2ee696db84718a6dad8)] -> xpath: //select[@id='priceTo']]
2021-12-16 15:12:416 INFO  CarsBuyers :62 - Selecting Nextcar : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-12-16 15:12:454 INFO  CarsBuyers :67 - Getting Text from : [[ChromeDriver: chrome on WINDOWS (5ea1ec69c432b2ee696db84718a6dad8)] -> css selector: .listing-search-title]
2021-12-16 15:12:597 INFO  ManageDriver :30 - Launching chrome Browser
